season_id,match_id,minute,player,x_inicio,y_inicio,x_fin,y_fin,pass_outcome
40,69151,0,Lilian Thuram,10.9,30.8,23.3,27.4,
40,69151,0,Lilian Thuram,58.6,30.1,73.3,8.1,
40,69151,0,Thierry Henry,71.9,4.1,65.8,11.7,
40,69151,0,Andrés Iniesta Luján,66.2,12.7,68.9,24.7,
40,69151,0,Anderson Luís de Souza,71.9,25.3,70.8,38.3,Incomplete
40,69151,1,Lilian Thuram,42.0,28.0,33.2,42.1,
40,69151,1,Gabriel Alejandro Milito,33.2,42.1,34.9,48.2,
40,69151,1,Xavier Hernández Creus,55.9,54.1,62.8,77.0,
40,69151,1,Oleguer Presas Renom,52.7,74.7,54.8,65.7,
40,69151,1,Xavier Hernández Creus,53.0,60.6,30.3,54.3,
40,69151,1,Lilian Thuram,30.3,54.3,47.7,74.1,
40,69151,1,Oleguer Presas Renom,48.5,74.1,57.6,74.7,
40,69151,1,Lionel Andrés Messi Cuccittini,61.8,62.9,69.1,47.2,
40,69151,1,Xavier Hernández Creus,69.3,47.6,76.1,40.2,Incomplete
40,69151,2,Víctor Valdés Arribas,6.9,37.5,27.3,6.0,
40,69151,3,Andrés Iniesta Luján,65.4,37.9,56.3,45.3,
40,69151,3,Xavier Hernández Creus,55.1,53.5,65.4,76.8,
40,69151,3,Lionel Andrés Messi Cuccittini,65.4,76.8,55.5,64.4,
40,69151,3,Xavier Hernández Creus,66.4,56.0,80.3,32.3,Pass Offside
40,69151,3,Oleguer Presas Renom,37.4,80.0,23.7,66.3,
40,69151,3,Lilian Thuram,42.0,53.7,42.9,64.2,
40,69151,3,Gnégnéri Yaya Touré,44.8,62.7,42.7,48.9,
40,69151,3,Xavier Hernández Creus,44.8,41.9,42.0,21.1,
40,69151,4,Gabriel Alejandro Milito,42.2,15.9,67.0,16.5,
40,69151,4,Víctor Valdés Arribas,7.0,44.1,31.5,43.4,
40,69151,4,Gnégnéri Yaya Touré,36.8,42.3,38.0,74.5,
40,69151,4,Oleguer Presas Renom,38.0,74.5,32.6,61.7,
40,69151,4,Lilian Thuram,32.6,61.7,31.1,30.1,
40,69151,4,Gabriel Alejandro Milito,31.1,30.1,34.9,5.6,
40,69151,4,Eric-Sylvain Bilal Abidal,34.9,5.6,44.3,17.1,
40,69151,4,Anderson Luís de Souza,44.3,17.1,64.3,25.7,
40,69151,4,Andrés Iniesta Luján,65.1,29.1,62.4,22.6,
40,69151,4,Anderson Luís de Souza,58.6,22.2,64.9,7.0,
40,69151,4,Eric-Sylvain Bilal Abidal,64.9,7.0,54.8,12.1,
40,69151,4,Anderson Luís de Souza,53.0,19.4,53.4,71.3,
40,69151,5,Oleguer Presas Renom,66.4,70.3,46.2,60.2,
40,69151,5,Lilian Thuram,46.2,60.0,54.0,63.6,
40,69151,5,Xavier Hernández Creus,54.0,63.6,40.1,53.7,
40,69151,5,Lilian Thuram,45.4,48.4,55.3,61.3,
40,69151,5,Gnégnéri Yaya Touré,55.3,61.3,46.0,57.0,
40,69151,5,Xavier Hernández Creus,49.2,59.8,88.5,10.4,
40,69151,5,Andrés Iniesta Luján,91.2,26.2,82.0,32.5,
40,69151,5,Xavier Hernández Creus,82.0,36.7,93.3,61.3,Pass Offside
40,69151,6,Gabriel Alejandro Milito,37.6,48.0,29.6,22.2,
